time,result,side,price,size,ltp,best_bid,best_ask,spread_pct,limit_pct
2026-01-20 15:16:13,OBSERVE_OK,,,,14469496.0,14462555.0,14465871.0,0.0229,0.05
2026-01-21 01:41:26,OBSERVE_OK,,,,14279764.0,14273341.0,14280247.0,0.0484,0.05
2026-01-21 01:42:26,SKIP_SPREAD,,,,14255912.0,14255892.0,14263137.0,0.0508,0.05
2026-01-21 01:43:27,SKIP_SPREAD,,,,14253691.0,14240001.0,14249204.0,0.0646,0.05
2026-01-21 01:44:27,SKIP_SPREAD,,,,14246326.0,14237843.0,14247099.0,0.065,0.05
2026-01-21 01:45:28,OBSERVE_OK,,,,14235010.0,14230000.0,14235125.0,0.036,0.05
2026-01-21 01:46:28,SKIP_SPREAD,,,,14239259.0,14229736.0,14238987.0,0.065,0.05
2026-01-21 01:47:28,SKIP_SPREAD,,,,14245674.0,14237033.0,14245674.0,0.0607,0.05
2026-01-21 02:04:16,SKIP_SPREAD,,,,14242786.0,14226133.0,14235130.0,0.0632,0.05
2026-01-21 02:05:17,SKIP_SPREAD,,,,14257753.0,14247431.0,14257744.0,0.0723,0.05
2026-01-21 02:06:17,SKIP_SPREAD,,,,14263749.0,14258366.0,14268434.0,0.0706,0.05
2026-01-21 02:15:19,SKIP_SPREAD,,,,14286960.0,14282630.0,14289788.0,0.0501,0.05
2026-01-21 02:16:19,SKIP_SPREAD,,,,14289489.0,14276838.0,14286756.0,0.0694,0.05
2026-01-21 02:17:19,SKIP_SPREAD,,,,14273590.0,14267513.0,14276282.0,0.0614,0.05
2026-01-21 02:18:20,SKIP_SPREAD,,,,14273590.0,14264409.0,14272047.0,0.0535,0.05
2026-01-21 02:19:10,SKIP_SPREAD,,,,14273000.0,14269744.0,14277024.0,0.051,0.05
2026-01-21 02:20:10,OBSERVE_OK,,,,14272351.0,14264737.0,14270897.0,0.0432,0.05
2026-01-21 02:21:10,SKIP_SPREAD,,,,14274717.0,14255117.0,14265324.0,0.0715,0.05
2026-01-21 02:22:11,SKIP_SPREAD,,,,14267902.0,14261384.0,14270881.0,0.0666,0.05
2026-01-21 02:23:11,OBSERVE_OK,,,,14259173.0,14255927.0,14259961.0,0.0283,0.05
2026-01-21 02:24:12,OBSERVE_OK,,,,14267742.0,14262132.0,14268902.0,0.0474,0.05
2026-01-21 02:25:12,SKIP_SPREAD,,,,14270617.0,14256774.0,14264599.0,0.0548,0.05
2026-01-21 02:26:13,SKIP_SPREAD,,,,14258690.0,14253752.0,14261690.0,0.0557,0.05
2026-01-21 02:27:13,SKIP_SPREAD,,,,14254996.0,14245940.0,14254914.0,0.063,0.05
2026-01-21 02:30:24,SKIP_SPREAD,,,,14241211.0,14240803.0,14248385.0,0.0532,0.05
2026-01-21 02:31:24,OBSERVE_OK,,,,14241211.0,14240001.0,14245947.0,0.0418,0.05
2026-01-21 02:32:25,OBSERVE_OK,,,,14237360.0,14233152.0,14238073.0,0.0346,0.05
2026-01-21 02:33:25,OBSERVE_OK,,,,14239120.0,14230000.0,14235840.0,0.041,0.05
2026-01-21 02:34:26,OBSERVE_OK,,,,14211524.0,14210435.0,14216538.0,0.0429,0.05
2026-01-21 02:35:26,OBSERVE_OK,,,,14205386.0,14202200.0,14208261.0,0.0427,0.05
2026-01-21 02:36:26,SKIP_SPREAD,,,,14177390.0,14179022.0,14188699.0,0.0683,0.05
2026-01-21 02:37:27,SKIP_SPREAD,,,,14171217.0,14169299.0,14177672.0,0.0591,0.05
2026-01-21 02:38:27,SKIP_SPREAD,,,,14188559.0,14180256.0,14187430.0,0.0506,0.05
2026-01-21 02:39:28,SKIP_SPREAD,,,,14193865.0,14182926.0,14191725.0,0.062,0.05
2026-01-21 02:40:28,OBSERVE_OK,,,,14167892.0,14167892.0,14172778.0,0.0345,0.05
2026-01-21 02:41:29,OBSERVE_OK,,,,14178154.0,14172501.0,14176991.0,0.0317,0.05
2026-01-21 02:42:29,OBSERVE_OK,,,,14172431.0,14168225.0,14173946.0,0.0404,0.05
2026-01-21 02:43:29,OBSERVE_OK,,,,14183263.0,14168479.0,14174473.0,0.0423,0.05
2026-01-21 02:44:30,SKIP_SPREAD,,,,14175528.0,14166643.0,14173815.0,0.0506,0.05
2026-01-21 02:45:30,SKIP_SPREAD,,,,14176341.0,14164728.0,14172807.0,0.057,0.05
2026-01-21 02:47:15,SKIP_SPREAD,,,,14138480.0,14134818.0,14143443.0,0.061,0.05
2026-01-21 02:48:15,SKIP_SPREAD,,,,14152272.0,14142922.0,14153109.0,0.072,0.05
2026-01-21 02:49:16,SKIP_SPREAD,,,,14166318.0,14164409.0,14172587.0,0.0577,0.05
2026-01-21 02:50:16,OBSERVE_OK,,,,14161968.0,14156424.0,14161968.0,0.0391,0.05
2026-01-21 02:51:17,SKIP_SPREAD,,,,14156463.0,14147436.0,14156334.0,0.0629,0.05
2026-01-21 02:52:17,OBSERVE_OK,,,,14129934.0,14128800.0,14130000.0,0.0085,0.05
2026-01-21 02:53:17,SKIP_SPREAD,,,,14159806.0,14151848.0,14159004.0,0.0505,0.05
2026-01-21 02:54:18,SKIP_SPREAD,,,,14158432.0,14156495.0,14164585.0,0.0571,0.05
2026-01-21 02:55:18,SKIP_SPREAD,,,,14175624.0,14166465.0,14176679.0,0.0721,0.05
2026-01-21 02:56:19,SKIP_SPREAD,,,,14170745.0,14162239.0,14170701.0,0.0597,0.05
2026-01-21 02:57:19,SKIP_SPREAD,,,,14169138.0,14175856.0,14187763.0,0.084,0.05
2026-01-21 02:58:19,SKIP_SPREAD,,,,14173617.0,14170798.0,14178192.0,0.0522,0.05
2026-01-21 02:59:20,OBSERVE_OK,,,,14180914.0,14171137.0,14178064.0,0.0488,0.05
2026-01-21 03:00:20,OBSERVE_OK,,,,14188976.0,14184001.0,14189370.0,0.0378,0.05
2026-01-21 03:01:21,SKIP_SPREAD,,,,14193867.0,14187314.0,14196642.0,0.0657,0.05
2026-01-21 03:02:21,SKIP_SPREAD,,,,14191838.0,14190321.0,14197631.0,0.0515,0.05
2026-01-21 03:03:21,OBSERVE_OK,,,,14191838.0,14190270.0,14194842.0,0.0322,0.05
2026-01-21 03:04:22,SKIP_SPREAD,,,,14189519.0,14189747.0,14198497.0,0.0617,0.05
2026-01-21 03:05:22,SKIP_SPREAD,,,,14199999.0,14190847.0,14198193.0,0.0517,0.05
2026-01-21 03:06:23,SKIP_SPREAD,,,,14182746.0,14182764.0,14192727.0,0.0702,0.05
2026-01-21 03:07:23,OBSERVE_OK,,,,14192842.0,14192842.0,14196146.0,0.0233,0.05
2026-01-21 03:08:23,SKIP_SPREAD,,,,14192842.0,14187622.0,14196139.0,0.06,0.05
2026-01-21 03:09:24,OBSERVE_OK,,,,14183326.0,14176780.0,14182575.0,0.0409,0.05
2026-01-21 03:10:24,SKIP_SPREAD,,,,14186746.0,14177983.0,14186807.0,0.0622,0.05
2026-01-21 03:11:25,SKIP_SPREAD,,,,14193958.0,14182839.0,14194233.0,0.0803,0.05
2026-01-21 03:12:25,SKIP_SPREAD,,,,14197673.0,14182930.0,14190257.0,0.0516,0.05
2026-01-21 03:14:44,SKIP_SPREAD,,,,14201013.0,14196124.0,14203921.0,0.0549,0.05
2026-01-21 03:15:45,SKIP_SPREAD,,,,14201013.0,14192347.0,14201049.0,0.0613,0.05
2026-01-21 03:16:45,OBSERVE_OK,,,,14204740.0,14199878.0,14204459.0,0.0322,0.05
2026-01-21 03:17:46,SKIP_SPREAD,,,,14211103.0,14197553.0,14206076.0,0.06,0.05
2026-01-21 03:18:46,SKIP_SPREAD,,,,14198402.0,14189272.0,14197566.0,0.0584,0.05
2026-01-21 03:19:47,OBSERVE_OK,,,,14198402.0,14175437.0,14181423.0,0.0422,0.05
2026-01-21 03:20:50,OBSERVE_OK,,,,14166159.0,14160803.0,14165000.0,0.0296,0.05
2026-01-21 03:21:50,OBSERVE_OK,,,,14167151.0,14161203.0,14166655.0,0.0385,0.05
2026-01-21 03:22:51,SKIP_SPREAD,,,,14174300.0,14175385.0,14182476.0,0.05,0.05
2026-01-21 03:23:51,OBSERVE_OK,,,,14174300.0,14171048.0,14176946.0,0.0416,0.05
2026-01-21 03:24:52,SKIP_SPREAD,,,,14179411.0,14183086.0,14190747.0,0.054,0.05
2026-01-21 03:25:29,SKIP_SPREAD,,,,14179411.0,14185197.0,14192602.0,0.0522,0.05
2026-01-21 03:26:30,SKIP_SPREAD,,,,14186025.0,14186810.0,14194205.0,0.0521,0.05
2026-01-21 03:27:30,OBSERVE_OK,,,,14204551.0,14197207.0,14204232.0,0.0495,0.05
2026-01-21 03:28:30,SKIP_SPREAD,,,,14204551.0,14189459.0,14198541.0,0.0639,0.05
2026-01-21 03:29:31,OBSERVE_OK,,,,14184374.0,14178676.0,14185589.0,0.0487,0.05
2026-01-21 03:30:31,SKIP_SPREAD,,,,14175526.0,14169594.0,14178118.0,0.0601,0.05
2026-01-21 03:31:32,SKIP_SPREAD,,,,14175526.0,14169061.0,14178035.0,0.0633,0.05
2026-01-21 03:32:32,SKIP_SPREAD,,,,14167706.0,14168595.0,14175987.0,0.0522,0.05
2026-01-21 03:33:32,SKIP_SPREAD,,,,14166709.0,14158134.0,14166355.0,0.058,0.05
2026-01-21 03:34:33,SKIP_SPREAD,,,,14166709.0,14162609.0,14170006.0,0.0522,0.05
2026-01-21 03:36:11,SKIP_SPREAD,,,,14176622.0,14166464.0,14178045.0,0.0817,0.05,,,UNKNOWN,NONE
2026-01-21 03:36:43,OBSERVE_OK,,,,14159585.0,14156501.0,14161355.0,0.0343,0.05,,,UNKNOWN,NONE
2026-01-21 03:37:22,OBSERVE_OK,,,,14155126.0,14147715.0,14154420.0,0.0474,0.05,,,UNKNOWN,NONE
